Model	k	Method	Error	Coverage	AveragePrecision	AverageRecall	AverageF1	WeightedAverageF1
counts	11	coverage	0	20	0.831388888888889	0.831388888888889	0.831388888888889	0.831388888888889
counts	11	coverage	0.001	20	0.83	0.83	0.83	0.83
counts	11	coverage	0.01	20	0.828333333333333	0.828333333333333	0.828333333333333	0.828333333333333
counts	11	mean	0	20	0.822777777777778	0.822777777777778	0.822777777777778	0.822777777777778
counts	11	mean	0.001	20	0.819444444444444	0.819444444444444	0.819444444444444	0.819444444444444
counts	11	mean	0.01	20	0.818611111111111	0.818611111111111	0.818611111111111	0.818611111111111
counts	11	median	0	20	0.831111111111111	0.831111111111111	0.831111111111111	0.831111111111111
counts	11	median	0.001	20	0.821666666666667	0.821666666666667	0.821666666666667	0.821666666666667
counts	11	median	0.01	20	0.825555555555556	0.825555555555556	0.825555555555555	0.825555555555555
counts	15	coverage	0	20	0.886666666666667	0.886666666666667	0.886666666666667	0.886666666666667
counts	15	coverage	0.001	20	0.884444444444444	0.884444444444444	0.884444444444444	0.884444444444444
counts	15	coverage	0.01	20	0.883055555555556	0.883055555555556	0.883055555555555	0.883055555555555
counts	15	mean	0	20	0.878611111111111	0.878611111111111	0.878611111111111	0.878611111111111
counts	15	mean	0.001	20	0.877777777777778	0.877777777777778	0.877777777777778	0.877777777777778
counts	15	mean	0.01	20	0.873333333333333	0.873333333333333	0.873333333333333	0.873333333333333
counts	15	median	0	20	0.883611111111111	0.883611111111111	0.883611111111111	0.883611111111111
counts	15	median	0.001	20	0.885	0.885	0.885	0.885
counts	15	median	0.01	20	0.871111111111111	0.871111111111111	0.871111111111111	0.871111111111111
counts	19	coverage	0	20	0.904722222222222	0.904722222222222	0.904722222222222	0.904722222222222
counts	19	coverage	0.001	20	0.904722222222222	0.904722222222222	0.904722222222222	0.904722222222222
counts	19	coverage	0.01	20	0.899166666666667	0.899166666666667	0.899166666666667	0.899166666666667
counts	19	mean	0	20	0.898888888888889	0.898888888888889	0.898888888888889	0.898888888888889
counts	19	mean	0.001	20	0.899166666666667	0.899166666666667	0.899166666666667	0.899166666666667
counts	19	mean	0.01	20	0.891944444444444	0.891944444444444	0.891944444444444	0.891944444444444
counts	19	median	0	20	0.893333333333333	0.893333333333333	0.893333333333333	0.893333333333333
counts	19	median	0.001	20	0.905	0.905	0.905	0.905
counts	19	median	0.01	20	0.868055555555556	0.868055555555556	0.868055555555556	0.868055555555556
counts	23	coverage	0	20	0.918611111111111	0.918611111111111	0.918611111111111	0.918611111111111
counts	23	coverage	0.001	20	0.9175	0.9175	0.9175	0.9175
counts	23	coverage	0.01	20	0.911111111111111	0.911111111111111	0.911111111111111	0.911111111111111
counts	23	mean	0	20	0.910555555555556	0.910555555555556	0.910555555555556	0.910555555555556
counts	23	mean	0.001	20	0.911388888888889	0.911388888888889	0.911388888888889	0.911388888888889
counts	23	mean	0.01	20	0.901666666666667	0.901666666666667	0.901666666666667	0.901666666666667
counts	23	median	0	20	0.895	0.895	0.895	0.895
counts	23	median	0.001	20	0.912777777777778	0.912777777777778	0.912777777777778	0.912777777777778
counts	23	median	0.01	20	0.900277777777778	0.900277777777778	0.900277777777778	0.900277777777778
counts	27	coverage	0	20	0.926388888888889	0.926388888888889	0.926388888888889	0.926388888888889
counts	27	coverage	0.001	20	0.928611111111111	0.928611111111111	0.928611111111111	0.928611111111111
counts	27	coverage	0.01	20	0.919166666666667	0.919166666666667	0.919166666666667	0.919166666666667
counts	27	mean	0	20	0.921666666666667	0.921666666666667	0.921666666666667	0.921666666666667
counts	27	mean	0.001	20	0.921388888888889	0.921388888888889	0.921388888888889	0.921388888888889
counts	27	mean	0.01	20	0.912222222222222	0.912222222222222	0.912222222222222	0.912222222222222
counts	27	median	0	20	0.920833333333333	0.920833333333333	0.920833333333333	0.920833333333333
counts	27	median	0.001	20	0.915	0.915	0.915	0.915
counts	27	median	0.01	20	0.909444444444444	0.909444444444444	0.909444444444444	0.909444444444444
counts	31	coverage	0	20	0.933055555555556	0.933055555555556	0.933055555555556	0.933055555555556
counts	31	coverage	0.001	20	0.934722222222222	0.934722222222222	0.934722222222222	0.934722222222222
counts	31	coverage	0.01	20	0.918055555555556	0.918055555555556	0.918055555555556	0.918055555555556
counts	31	mean	0	20	0.9275	0.9275	0.9275	0.9275
counts	31	mean	0.001	20	0.929722222222222	0.929722222222222	0.929722222222222	0.929722222222222
counts	31	mean	0.01	20	0.913611111111111	0.913611111111111	0.913611111111111	0.913611111111111
counts	31	median	0	20	0.933055555555556	0.933055555555556	0.933055555555556	0.933055555555556
counts	31	median	0.001	20	0.905	0.905	0.905	0.905
counts	31	median	0.01	20	0.912222222222222	0.912222222222222	0.912222222222222	0.912222222222222
counts	35	coverage	0	20	0.941111111111111	0.941111111111111	0.941111111111111	0.941111111111111
counts	35	coverage	0.001	20	0.941111111111111	0.941111111111111	0.941111111111111	0.941111111111111
