k	Method	Error	Coverage	AveragePrecision	AverageRecall	AverageF1	WeightedAverageF1
35	coverage	0.01	20	0.332366515657339	0.335630630630631	0.333874709405533	0.333874709405533
35	mean	0	20	0.388908098268534	0.393003003003003	0.390766297422708	0.390766297422708
35	mean	0.001	20	0.384270050468475	0.388123123123123	0.386030066108084	0.386030066108084
35	mean	0.01	20	0.327423156891581	0.330555555555556	0.328870425612427	0.328870425612427
35	median	0	20	0.39250802700437	0.396606606606607	0.394364696549214	0.394364696549214
35	median	0.001	20	0.377818501053254	0.381576576576577	0.379531988200041	0.379531988200041
35	median	0.01	20	0.323810769414436	0.326891891891892	0.325239594602721	0.325239594602721
39	coverage	0	20	0.411901383038915	0.416321321321321	0.413892951729245	0.413892951729245
39	coverage	0.001	20	0.405043999298075	0.409444444444444	0.407036208540448	0.407036208540448
39	coverage	0.01	20	0.334158029342481	0.337432432432432	0.33566810332022	0.33566810332022
39	mean	0	20	0.406100185519277	0.410345345345345	0.40801617241399	0.40801617241399
39	mean	0.001	20	0.399257380165696	0.403528528528529	0.401192908338369	0.401192908338369
39	mean	0.01	20	0.329862442778358	0.333018018018018	0.331319351574765	0.331319351574765
39	median	0	20	0.399853931730465	0.403993993993994	0.401726345382781	0.401726345382781
39	median	0.001	20	0.405492642962207	0.409834834834835	0.407458885375447	0.407458885375447
39	median	0.01	20	0.319688289671265	0.322792792792793	0.32113133269698	0.32113133269698
43	coverage	0	20	0.421214990343746	0.425840840840841	0.423291705315318	0.423291705315318
43	coverage	0.001	20	0.413534905784643	0.418153153153153	0.415613738844784	0.415613738844784
43	coverage	0.01	20	0.330624915164334	0.333888888888889	0.332138358387496	0.332138358387496
43	mean	0	20	0.415412617113462	0.41996996996997	0.417460672037597	0.417460672037597
43	mean	0.001	20	0.407579717537225	0.412027027027027	0.409588337395631	0.409588337395631
43	mean	0.01	20	0.326294932180938	0.329474474474474	0.327773365391762	0.327773365391762
43	median	0	20	0.383325616855018	0.387237237237237	0.385097503196036	0.385097503196036
43	median	0.001	20	0.411755520999813	0.416321321321321	0.41381255487213	0.41381255487213
43	median	0.01	20	0.296242200227266	0.299039039039039	0.297550993232489	0.297550993232489
