k	Error	AverageF1
11	0	0.994444444444444
11	0.001	0.994722222222222
11	0.01	0.993055555555556
15	0	0.997222222222222
15	0.001	0.996944444444444
15	0.01	0.995833333333333
19	0	0.997777777777778
19	0.001	0.9975
19	0.01	0.996944444444444
23	0	0.997777777777778
23	0.001	0.998055555555556
23	0.01	0.9975
27	0	0.998055555555556
27	0.001	0.997777777777778
27	0.01	0.996666666666667
31	0	0.998333333333333
31	0.001	0.998055555555556
31	0.01	0.996111111111111
35	0	0.998333333333333
35	0.001	0.998055555555556
35	0.01	0.995833333333333
39	0	0.998333333333333
39	0.001	0.998333333333333
39	0.01	0.995277777777778
43	0	0.998333333333333
43	0.001	0.998333333333333
43	0.01	0.995277777777778
47	0	0.998333333333333
47	0.001	0.998055555555556
47	0.01	0.994722222222222
51	0	0.998055555555556
51	0.001	0.998055555555556
51	0.01	0.994166666666667
55	0	0.998333333333333
55	0.001	0.998055555555556
55	0.01	0.993888888888889
59	0	0.998611111111111
59	0.001	0.998888888888889
59	0.01	0.993611111111111
63	0	0.999166666666667
63	0.001	0.998611111111111
63	0.01	0.993888888888889
67	0	0.999444444444444
67	0.001	0.998888888888889
67	0.01	0.994444444444444
71	0	0.999444444444444
71	0.001	0.998888888888889
71	0.01	0.995277777777778
75	0	1
75	0.001	0.998888888888889
75	0.01	0.993333333333333
79	0	1
79	0.001	0.998888888888889
79	0.01	0.993333333333333
83	0	1
83	0.001	0.999444444444444
83	0.01	0.993611111111111
87	0	1
87	0.001	0.999444444444444
87	0.01	0.9925
91	0	1
91	0.001	0.999444444444444
91	0.01	0.992777777777778
95	0	1
95	0.001	0.999444444444444
95	0.01	0.991944444444444
99	0	0.999722222222222
99	0.001	0.999722222222222
99	0.01	0.992222222222222
