k	Method	Error	Coverage	AveragePrecision	AverageRecall	AverageF1	WeightedAverageF1
35	coverage	0.001	20	0.941111111111111	0.941111111111111	0.941111111111111	0.941111111111111
35	coverage	0.01	20	0.926944444444444	0.926944444444444	0.926944444444444	0.926944444444444
35	mean	0	20	0.937222222222222	0.937222222222222	0.937222222222222	0.937222222222222
35	mean	0.001	20	0.938333333333333	0.938333333333333	0.938333333333333	0.938333333333333
35	mean	0.01	20	0.920555555555556	0.920555555555556	0.920555555555556	0.920555555555556
35	median	0	20	0.941944444444444	0.941944444444444	0.941944444444444	0.941944444444444
35	median	0.001	20	0.931666666666667	0.931666666666667	0.931666666666667	0.931666666666667
35	median	0.01	20	0.918611111111111	0.918611111111111	0.918611111111111	0.918611111111111
39	coverage	0	20	0.946388888888889	0.946388888888889	0.946388888888889	0.946388888888889
39	coverage	0.001	20	0.945	0.945	0.945	0.945
39	coverage	0.01	20	0.926388888888889	0.926388888888889	0.926388888888889	0.926388888888889
39	mean	0	20	0.943888888888889	0.943888888888889	0.943888888888889	0.943888888888889
39	mean	0.001	20	0.941944444444444	0.941944444444444	0.941944444444444	0.941944444444444
39	mean	0.01	20	0.923611111111111	0.923611111111111	0.923611111111111	0.923611111111111
39	median	0	20	0.939444444444444	0.939444444444444	0.939444444444444	0.939444444444444
39	median	0.001	20	0.945555555555556	0.945555555555556	0.945555555555556	0.945555555555556
39	median	0.01	20	0.915833333333333	0.915833333333333	0.915833333333333	0.915833333333333
43	coverage	0	20	0.949722222222222	0.949722222222222	0.949722222222222	0.949722222222222
43	coverage	0.001	20	0.947222222222222	0.947222222222222	0.947222222222222	0.947222222222222
43	coverage	0.01	20	0.926944444444444	0.926944444444444	0.926944444444444	0.926944444444444
43	mean	0	20	0.946388888888889	0.946388888888889	0.946388888888889	0.946388888888889
43	mean	0.001	20	0.945	0.945	0.945	0.945
43	mean	0.01	20	0.924166666666667	0.924166666666667	0.924166666666667	0.924166666666667
43	median	0	20	0.925833333333333	0.925833333333333	0.925833333333333	0.925833333333333
43	median	0.001	20	0.945833333333333	0.945833333333333	0.945833333333333	0.945833333333333
43	median	0.01	20	0.899166666666667	0.899166666666667	0.899166666666667	0.899166666666667
47	coverage	0	20	0.951666666666667	0.951666666666667	0.951666666666667	0.951666666666667
47	coverage	0.001	20	0.949444444444444	0.949444444444444	0.949444444444444	0.949444444444444
47	coverage	0.01	20	0.927222222222222	0.927222222222222	0.927222222222222	0.927222222222222
47	mean	0	20	0.948888888888889	0.948888888888889	0.948888888888889	0.948888888888889
47	mean	0.001	20	0.947777777777778	0.947777777777778	0.947777777777778	0.947777777777778
47	mean	0.01	20	0.925	0.925	0.925	0.925
47	median	0	20	0.948611111111111	0.948611111111111	0.948611111111111	0.948611111111111
47	median	0.001	20	0.943333333333333	0.943333333333333	0.943333333333333	0.943333333333333
47	median	0.01	20	0.913611111111111	0.913611111111111	0.913611111111111	0.913611111111111
51	coverage	0	20	0.953055555555556	0.953055555555556	0.953055555555556	0.953055555555556
51	coverage	0.001	20	0.950833333333333	0.950833333333333	0.950833333333333	0.950833333333333
51	coverage	0.01	20	0.924444444444444	0.924444444444444	0.924444444444444	0.924444444444444
51	mean	0	20	0.951388888888889	0.951388888888889	0.951388888888889	0.951388888888889
51	mean	0.001	20	0.948611111111111	0.948611111111111	0.948611111111111	0.948611111111111
51	mean	0.01	20	0.922777777777778	0.922777777777778	0.922777777777778	0.922777777777778
51	median	0	20	0.953055555555556	0.953055555555556	0.953055555555556	0.953055555555556
51	median	0.001	20	0.936666666666667	0.936666666666667	0.936666666666667	0.936666666666667
51	median	0.01	20	0.923611111111111	0.923611111111111	0.923611111111111	0.923611111111111
55	coverage	0	20	0.959444444444444	0.959444444444444	0.959444444444444	0.959444444444444
55	coverage	0.001	20	0.954444444444444	0.954444444444444	0.954444444444444	0.954444444444444
55	coverage	0.01	20	0.927222222222222	0.927222222222222	0.927222222222222	0.927222222222222
55	mean	0	20	0.955833333333333	0.955833333333333	0.955833333333333	0.955833333333333
55	mean	0.001	20	0.952777777777778	0.952777777777778	0.952777777777778	0.952777777777778
55	mean	0.01	20	0.925555555555556	0.925555555555556	0.925555555555556	0.925555555555556
55	median	0	20	0.957777777777778	0.957777777777778	0.957777777777778	0.957777777777778
55	median	0.001	20	0.946388888888889	0.946388888888889	0.946388888888889	0.946388888888889
55	median	0.01	20	0.916111111111111	0.916111111111111	0.916111111111111	0.916111111111111
59	coverage	0	20	0.966944444444444	0.966944444444444	0.966944444444444	0.966944444444444
59	coverage	0.001	20	0.962777777777778	0.962777777777778	0.962777777777778	0.962777777777778
59	coverage	0.01	20	0.929166666666667	0.929166666666667	0.929166666666667	0.929166666666667
59	mean	0	20	0.965277777777778	0.965277777777778	0.965277777777778	0.965277777777778
59	mean	0.001	20	0.960833333333333	0.960833333333333	0.960833333333333	0.960833333333333
59	mean	0.01	20	0.928611111111111	0.928611111111111	0.928611111111111	0.928611111111111
59	median	0	20	0.961388888888889	0.961388888888889	0.961388888888889	0.961388888888889
59	median	0.001	20	0.963055555555556	0.963055555555556	0.963055555555556	0.963055555555556
59	median	0.01	20	0.895555555555556	0.895555555555556	0.895555555555556	0.895555555555556
63	coverage	0	20	0.97	0.97	0.97	0.97
63	coverage	0.001	20	0.965555555555556	0.965555555555556	0.965555555555556	0.965555555555556
63	coverage	0.01	20	0.930277777777778	0.930277777777778	0.930277777777778	0.930277777777778
63	mean	0	20	0.9675	0.9675	0.9675	0.9675
63	mean	0.001	20	0.965	0.965	0.965	0.965
