A,L34,-84760.228745954,1
A,L32,-84937.33428435476,1
A,A,-84957.4625854417,1
A,L33,-84957.4625854417,1
A,L22,-84957.4625854417,1
A,L21,-84957.4625854417,1
A,L37,-84992.16760516516,1
A,L13,-85047.217470619,1
A,D,-85054.79310949237,1
A,L3,-85062.10901740642,1
A,L11,-85072.61862680365,1
A,L35,-85150.43122010808,1
A,L38,-85151.86129053078,1
A,L36,-85191.21105578924,1
A,B,-85224.55240387161,1
A,L9,-85291.82906975027,1
A,L12,-85292.23693445954,1
A,L7,-85292.23693445954,1
A,L2,-85316.61520206388,1
A,L20,-85373.18589397194,1
A,L24,-85481.62339580698,1
A,L23,-85702.9068254432,1
A,L19,-86107.11348318556,1
A,L6,-86138.36144973635,1
A,L14,-86138.36144973635,1
A,L8,-86186.4437735951,1
A,L1,-86214.53994184834,1
A,L10,-86441.53452002523,1
A,L4,-86453.53359202502,1
A,C,-86453.53359202502,1
A,L15,-86497.20625212087,1
A,L17,-86614.64348886147,1
A,L18,-86676.05525418532,1
A,L16,-86710.3072326804,1
A,L5,-87105.09149383752,1
A,E,-87353.52098728497,1
A,L32,-85014.05573587221,2
A,A,-85136.9226335957,2
A,L33,-85136.9226335957,2
A,L22,-85136.9226335957,2
A,L21,-85136.9226335957,2
A,L37,-85164.59498357412,2
A,L34,-85169.19153062478,2
A,D,-85209.32855772493,2
A,L13,-85272.44649030543,2
A,L38,-85287.7591492389,2
A,L3,-85288.16974692733,2
A,L11,-85298.18395020567,2
A,L36,-85303.77165620335,2
A,L35,-85316.70791653704,2
A,B,-85390.20699176427,2
A,L2,-85459.25994556064,2
A,L9,-85517.51117502087,2
A,L12,-85542.72078162481,2
A,L7,-85542.72078162481,2
A,L20,-85545.38891649927,2
A,L24,-85586.26584556545,2
A,L23,-85919.72170983774,2
A,L1,-86002.22700852345,2
A,L19,-86351.85478849876,2
A,L8,-86418.89735185954,2
A,L6,-86463.82327639956,2
A,L14,-86463.82327639956,2
A,L10,-86643.01644466266,2
A,L4,-86672.18171208775,2
A,C,-86672.18171208775,2
A,L17,-86709.00286957214,2
A,L15,-86799.94565911316,2
A,L16,-86823.97805955517,2
A,L18,-86869.88567892644,2
A,E,-87096.36307415956,2
A,L5,-87260.29137766258,2
A,L32,-85365.71814700337,3
A,L34,-85370.48199068019,3
A,A,-85410.27167798435,3
A,L33,-85410.27167798435,3
A,L22,-85410.27167798435,3
A,L21,-85410.27167798435,3
A,L37,-85455.35474588358,3
A,D,-85516.13983135478,3
A,L3,-85525.37047848823,3
A,B,-85571.4526344932,3
A,L13,-85593.23187870135,3
A,L2,-85594.47848441293,3
A,L36,-85605.71652130004,3
A,L11,-85640.6105473965,3
A,L38,-85665.81858683412,3
A,L35,-85690.89908623279,3
A,L7,-85716.92459693189,3
A,L12,-85716.92459693189,3
A,L9,-85724.57078722426,3
A,L20,-85762.18276441284,3
A,L24,-85972.7622357599,3
A,L1,-86181.29993936681,3
A,L23,-86262.87142640255,3
A,L19,-86560.73224025073,3
A,L8,-86825.44602998892,3
A,L6,-86884.0086401591,3
A,L14,-86884.0086401591,3
A,L4,-86986.62698649778,3
A,C,-86986.62698649778,3
A,L17,-87055.69438790553,3
A,L16,-87067.00348346509,3
A,L15,-87104.86255649048,3
A,L18,-87256.58879710552,3
A,E,-87258.17549407344,3
A,L10,-87374.79642583638,3
A,L5,-87595.07812871634,3
A,L32,-83967.85556048897,4
A,L34,-84095.67462255753,4
A,L21,-84211.3080602934,4
A,A,-84211.30806029342,4
A,L33,-84211.30806029342,4
A,L22,-84211.30806029342,4
A,L37,-84235.03845665407,4
A,D,-84258.20946237237,4
A,L38,-84339.23975654173,4
A,L3,-84339.54962545873,4
A,L35,-84354.63467793117,4
A,L13,-84361.07514799261,4
A,L11,-84363.36918794642,4
A,L36,-84446.00387808171,4
A,B,-84524.44948158812,4
A,L9,-84551.92654549939,4
A,L20,-84567.27574819411,4
A,L7,-84599.53963015418,4
A,L12,-84599.53963015418,4
A,L2,-84685.57968017804,4
A,L24,-84866.1185440194,4
A,L23,-85078.36169856963,4
A,L19,-85563.27553813207,4
A,L8,-85578.43271067501,4
A,L14,-85683.82243699259,4
A,L6,-85683.82243699259,4
A,L1,-85750.62771306017,4
A,L4,-85891.57413196971,4
A,C,-85891.57413196971,4
A,L10,-85902.45854775346,4
A,L15,-85960.03929020981,4
A,L17,-86061.92482329273,4
A,L16,-86190.8086802399,4
A,L18,-86199.38018558636,4
A,L5,-86493.68884987997,4
A,E,-87128.83635548723,4
A,L32,-84436.43115330806,5
A,L34,-84467.43781244241,5
A,A,-84550.12544315435,5
A,L21,-84550.12544315435,5
A,L22,-84550.12544315435,5
A,L33,-84550.12544315435,5
A,L37,-84585.87955417468,5
A,D,-84641.55927334461,5
A,L13,-84664.59909411178,5
A,L3,-84666.62720867766,5
A,L11,-84688.45508776516,5
A,B,-84735.18237038988,5
A,L36,-84744.92007798409,5
A,L7,-84800.99312676601,5
A,L12,-84800.99312676601,5
A,L35,-84827.49548115201,5
A,L9,-84828.41191205852,5
A,L38,-84838.44002219332,5
A,L2,-84850.27927482456,5
A,L20,-84870.01880328961,5
A,L24,-85155.01500349477,5
A,L23,-85557.52067521735,5
A,L1,-85767.1960694744,5
A,L19,-85845.79337373491,5
A,L6,-85866.01158657696,5
A,L14,-85866.01158657696,5
A,L8,-85938.71863382126,5
A,L4,-86122.92544260324,5
A,C,-86122.92544260324,5
A,L15,-86157.58828550427,5
A,L17,-86191.97254125777,5
A,L16,-86223.36807313288,5
