k	Method	Error	Coverage	AveragePrecision	AverageRecall	AverageF1	WeightedAverageF1
11	coverage	0	100	0.805277777777778	0.805277777777778	0.805277777777778	0.805277777777778
11	coverage	0.001	100	0.805277777777778	0.805277777777778	0.805277777777778	0.805277777777778
11	coverage	0.01	100	0.801666666666667	0.801666666666667	0.801666666666667	0.801666666666667
11	mean	0	100	0.802222222222222	0.802222222222222	0.802222222222222	0.802222222222222
11	mean	0.001	100	0.8025	0.8025	0.8025	0.8025
11	mean	0.01	100	0.800277777777778	0.800277777777778	0.800277777777778	0.800277777777778
11	median	0	100	0.805	0.805	0.805	0.805
11	median	0.001	100	0.804722222222222	0.804722222222222	0.804722222222222	0.804722222222222
11	median	0.01	100	0.800833333333333	0.800833333333333	0.800833333333333	0.800833333333333
15	coverage	0	100	0.986111111111111	0.986111111111111	0.986111111111111	0.986111111111111
15	coverage	0.001	100	0.986111111111111	0.986111111111111	0.986111111111111	0.986111111111111
15	coverage	0.01	100	0.986111111111111	0.986111111111111	0.986111111111111	0.986111111111111
15	mean	0	100	0.985277777777778	0.985277777777778	0.985277777777778	0.985277777777778
15	mean	0.001	100	0.984722222222222	0.984722222222222	0.984722222222222	0.984722222222222
15	mean	0.01	100	0.985277777777778	0.985277777777778	0.985277777777778	0.985277777777778
15	median	0	100	0.985555555555556	0.985555555555556	0.985555555555556	0.985555555555556
15	median	0.001	100	0.986388888888889	0.986388888888889	0.986388888888889	0.986388888888889
15	median	0.01	100	0.985555555555556	0.985555555555556	0.985555555555556	0.985555555555556
19	coverage	0	100	0.990833333333333	0.990833333333333	0.990833333333333	0.990833333333333
19	coverage	0.001	100	0.990277777777778	0.990277777777778	0.990277777777778	0.990277777777778
19	coverage	0.01	100	0.989722222222222	0.989722222222222	0.989722222222222	0.989722222222222
19	mean	0	100	0.988888888888889	0.988888888888889	0.988888888888889	0.988888888888889
19	mean	0.001	100	0.988333333333333	0.988333333333333	0.988333333333333	0.988333333333333
19	mean	0.01	100	0.988055555555556	0.988055555555556	0.988055555555556	0.988055555555556
19	median	0	100	0.989722222222222	0.989722222222222	0.989722222222222	0.989722222222222
19	median	0.001	100	0.990833333333333	0.990833333333333	0.990833333333333	0.990833333333333
