HG001	mean	261	P001/P608	-25132.352590
HG001	mean	261	P042/P622	-25181.645510
HG001	mean	261	P001/P059	-25210.620606
HG001	mean	281	P001/P001	-24651.708677
HG001	mean	281	P001/P052	-25216.128129
HG001	mean	281	P001/P622	-25292.765502
HG001	mean	281	P001/P019	-26084.728853
HG001	mean	281	P001/P035	-26171.127902
HG001	mean	281	P001/P042	-26211.959946
HG001	mean	281	P001/P608	-26529.745145
HG001	mean	281	P001/P059	-26594.843366
HG001	mean	281	P019/P052	-26649.148306
HG001	mean	281	P019/P622	-26725.785679
HG001	mean	301	P001/P001	-26029.003225
HG001	mean	301	P001/P052	-26575.621169
HG001	mean	301	P001/P622	-26667.287462
HG001	mean	301	P001/P019	-27396.394737
HG001	mean	301	P001/P035	-27506.833619
HG001	mean	301	P001/P042	-27810.942542
HG001	mean	301	P001/P608	-27865.450863
HG001	mean	301	P001/P059	-27888.960252
HG001	mean	301	P019/P052	-27943.012681
HG001	mean	301	P019/P622	-28034.678974
HG001	mean	321	P001/P001	-27231.354189
HG001	mean	321	P001/P052	-27759.323051
HG001	mean	321	P001/P622	-27855.775482
HG001	mean	321	P001/P019	-28540.587231
HG001	mean	321	P001/P035	-28667.595752
HG001	mean	321	P001/P059	-29010.212996
HG001	mean	321	P001/P608	-29025.519849
HG001	mean	321	P019/P052	-29068.556093
HG001	mean	321	P019/P622	-29165.008524
HG001	mean	321	P001/P042	-29233.749686
HG001	mean	341	P001/P001	-28331.298995
HG001	mean	341	P001/P052	-28841.782336
HG001	mean	341	P001/P622	-28917.597193
HG001	mean	341	P001/P019	-29600.865805
HG001	mean	341	P001/P035	-29728.031169
HG001	mean	341	P001/P059	-30048.467703
HG001	mean	341	P001/P608	-30061.695114
HG001	mean	341	P019/P052	-30111.349146
HG001	mean	341	P019/P622	-30187.164004
HG001	mean	341	P001/P043	-30470.843574
HG001	mean	361	P001/P001	-29350.732845
HG001	mean	361	P001/P052	-29851.615225
HG001	mean	361	P001/P622	-29909.305157
HG001	mean	361	P001/P019	-30589.904279
HG001	mean	361	P001/P035	-30700.331011
HG001	mean	361	P001/P608	-31022.211454
HG001	mean	361	P001/P059	-31027.005870
HG001	mean	361	P019/P052	-31090.786659
HG001	mean	361	P019/P622	-31148.476591
HG001	mean	361	P001/P043	-31410.565499
HG001	mean	381	P001/P001	-30243.161112
HG001	mean	381	P001/P052	-30735.110208
HG001	mean	381	P001/P622	-30798.960835
HG001	mean	381	P001/P019	-31467.160938
HG001	mean	381	P001/P035	-31561.567655
HG001	mean	381	P001/P608	-31867.505713
HG001	mean	381	P001/P059	-31886.856219
HG001	mean	381	P019/P052	-31959.110034
HG001	mean	381	P019/P622	-32022.960660
HG001	mean	381	P001/P043	-32244.769402
HG001	mean	401	P001/P001	-30989.920411
HG001	mean	401	P001/P052	-31469.103650
HG001	mean	401	P001/P622	-31545.720133
HG001	mean	401	P001/P019	-32207.392704
HG001	mean	401	P001/P035	-32268.124417
HG001	mean	401	P001/P608	-32560.199531
HG001	mean	401	P001/P059	-32607.969072
HG001	mean	401	P019/P052	-32686.575943
HG001	mean	401	P019/P622	-32763.192427
HG001	mean	401	P001/P043	-32937.463221
HG001	mean	421	P001/P001	-31670.898902
HG001	mean	421	P001/P052	-32135.843676
HG001	mean	421	P001/P622	-32216.301417
HG001	mean	421	P001/P019	-32887.302527
HG001	mean	421	P001/P035	-32907.514078
HG001	mean	421	P001/P608	-33199.589192
HG001	mean	421	P001/P059	-33275.084620
HG001	mean	421	P019/P052	-33352.247300
HG001	mean	421	P019/P622	-33432.705041
HG001	mean	421	P001/P043	-33576.852881
HG001	mean	441	P001/P001	-32272.005394
HG001	mean	441	P001/P052	-32713.404092
HG001	mean	441	P001/P622	-32800.079229
HG001	mean	441	P001/P035	-33467.031738
HG001	mean	441	P001/P019	-33478.725886
HG001	mean	441	P001/P608	-33759.106853
HG001	mean	441	P001/P059	-33856.089843
HG001	mean	441	P019/P052	-33920.124584
HG001	mean	441	P019/P622	-34006.799721
HG001	mean	441	P001/P043	-34136.370542
HG001	mean	461	P001/P001	-32728.524345
HG001	mean	461	P001/P052	-33155.465484
HG001	mean	461	P001/P622	-33235.803764
HG001	mean	461	P001/P035	-33891.665919
HG001	mean	461	P001/P019	-33913.162659
HG001	mean	461	P001/P608	-34183.741033
HG001	mean	461	P001/P059	-34284.882907
HG001	mean	461	P019/P052	-34340.103798
HG001	mean	461	P019/P622	-34420.442078
HG001	mean	461	P001/P043	-34561.004723
HG001	mean	481	P001/P001	-33078.385273
HG001	mean	481	P001/P052	-33497.355165
HG001	mean	481	P001/P622	-33560.711394
HG001	mean	481	P001/P035	-34216.573548
HG001	mean	481	P001/P019	-34238.416808
HG001	mean	481	P001/P608	-34508.648663
HG001	mean	481	P001/P059	-34594.541298
HG001	mean	481	P019/P052	-34657.386701
HG001	mean	481	P019/P622	-34720.742929
HG001	mean	481	P001/P043	-34885.912352
HG001	mean	501	P001/P001	-33347.502154
HG001	mean	501	P001/P052	-33771.326522
HG001	mean	501	P001/P622	-33818.044774
HG001	mean	501	P001/P019	-34471.492481
HG001	mean	501	P001/P035	-34473.906928
HG001	mean	501	P001/P608	-34765.982042
HG001	mean	501	P001/P059	-34822.069349
HG001	mean	501	P019/P052	-34895.316848
HG001	mean	501	P019/P622	-34942.035100
HG001	mean	501	P001/P043	-35143.245732
HG001	mean	521	P001/P001	-33604.496883
HG001	mean	521	P001/P052	-34044.542088
HG001	mean	521	P001/P622	-34075.039502
HG001	mean	521	P001/P019	-34688.563125
HG001	mean	521	P001/P035	-34730.901656
HG001	mean	521	P001/P608	-35022.976771
HG001	mean	521	P001/P059	-35038.168394
HG001	mean	521	P019/P052	-35128.608330
HG001	mean	521	P019/P622	-35159.105744
HG001	mean	521	P001/P043	-35398.161018
HG001	mean	541	P001/P001	-33759.901743
HG001	mean	541	P001/P052	-34215.692503
HG001	mean	541	P001/P622	-34230.444362
HG001	mean	541	P001/P019	-34804.261766
HG001	mean	541	P001/P035	-34886.306516
HG001	mean	541	P001/P059	-35138.121479
HG001	mean	541	P001/P608	-35178.381631
HG001	mean	541	P019/P052	-35260.052527
HG001	mean	541	P019/P622	-35274.804386
HG001	mean	541	P001/P043	-35539.702935
HG001	mean	561	P001/P001	-33850.038161
HG001	mean	561	P001/P622	-34320.580781
HG001	mean	561	P001/P052	-34320.936005
HG001	mean	561	P001/P019	-34854.053494
HG001	mean	561	P001/P035	-34976.442935
HG001	mean	561	P001/P059	-35172.806124
HG001	mean	561	P001/P608	-35260.200283
HG001	mean	561	P019/P622	-35324.596113
HG001	mean	561	P019/P052	-35324.951338
HG001	mean	561	P001/P043	-35593.795700
HG001	mean	581	P001/P001	-33890.774228
HG001	mean	581	P001/P622	-34361.316847
HG001	mean	581	P001/P052	-34376.170056
HG001	mean	581	P001/P019	-34862.153536
HG001	mean	581	P001/P035	-35011.633824
HG001	mean	581	P001/P059	-35166.408182
HG001	mean	581	P001/P608	-35280.141934
HG001	mean	581	P019/P622	-35332.696155
HG001	mean	581	P019/P052	-35347.549364
HG001	mean	581	P001/P043	-35592.942936
HG001	mean	601	P001/P001	-33903.812789
HG001	mean	601	P001/P622	-34374.355409
HG001	mean	601	P001/P052	-34392.881832
HG001	mean	601	P001/P019	-34848.366836
HG001	mean	601	P001/P035	-35008.036853
HG001	mean	601	P001/P059	-35138.551060
HG001	mean	601	P001/P608	-35251.591665
HG001	mean	601	P019/P622	-35318.909455
HG001	mean	601	P019/P052	-35337.435878
HG001	mean	601	P001/P043	-35564.392667
HG001	mean	621	P001/P001	-33791.303011
HG001	mean	621	P001/P622	-34261.845630
HG001	mean	621	P001/P052	-34269.087984
HG001	mean	621	P001/P019	-34721.800400
HG001	mean	621	P001/P035	-34855.324538
HG001	mean	621	P001/P059	-34998.315394
HG001	mean	621	P001/P608	-35097.493056
HG001	mean	621	P019/P622	-35192.343019
HG001	mean	621	P019/P052	-35199.585374
HG001	mean	621	P001/P043	-35410.294057
HG001	mean	641	P001/P001	-33537.071542
HG001	mean	641	P001/P052	-33986.445650
HG001	mean	641	P001/P622	-33999.296395
HG001	mean	641	P001/P019	-34453.021010
HG001	mean	641	P001/P035	-34559.504238
HG001	mean	641	P001/P059	-34716.358038
HG001	mean	641	P001/P608	-34801.672756
HG001	mean	641	P019/P052	-34902.395118
HG001	mean	641	P019/P622	-34915.245863
HG001	mean	641	P001/P043	-35114.473757
HG001	mean	661	P001/P001	-33190.261731
HG001	mean	661	P001/P052	-33610.845223
HG001	mean	661	P001/P622	-33631.692168
HG001	mean	661	P001/P019	-34107.919058
HG001	mean	661	P001/P035	-34171.105596
HG001	mean	661	P001/P059	-34358.457872
HG001	mean	661	P001/P608	-34413.274114
HG001	mean	661	P019/P052	-34528.502550
HG001	mean	661	P019/P622	-34549.349495
HG001	mean	661	P001/P043	-34726.075115
HG001	median	21	P056/P630	-2163.597317
HG001	median	21	P045/P630	-2163.597317
HG001	median	21	P035/P054	-2163.597317
HG001	median	21	P030/P634	-2163.597317
HG001	median	21	P012/P042	-2163.597317
HG001	median	21	P011/P030	-2163.597317
HG001	median	21	P001/P001	-2163.597317
HG001	median	21	P001/P020	-2167.160533
HG001	median	21	P012/P056	-2182.409748
HG001	median	21	P012/P045	-2182.409748
HG001	median	41	P030/P634	-3633.411082
HG001	median	41	P012/P042	-3633.411082
HG001	median	41	P011/P030	-3633.411082
HG001	median	41	P001/P001	-3633.411082
HG001	median	41	P001/P020	-3673.654204
HG001	median	41	P001/P012	-3722.279775
HG001	median	41	P022/P604	-3773.175943
HG001	median	41	P012/P020	-3773.175943
HG001	median	41	P001/P634	-3795.048932
HG001	median	41	P001/P011	-3795.048932
HG001	median	61	P012/P042	-5108.551400
HG001	median	61	P011/P030	-5108.551400
HG001	median	61	P001/P001	-5108.551400
HG001	median	61	P001/P020	-5227.175044
HG001	median	61	P002/P030	-5249.722645
HG001	median	61	P001/P012	-5284.735391
HG001	median	61	P001/P042	-5286.284138
HG001	median	61	P030/P634	-5336.761350
HG001	median	61	P001/P030	-5344.976889
HG001	median	61	P001/P051	-5378.292818
HG001	median	81	P012/P042	-6851.855303
HG001	median	81	P001/P001	-6851.855303
HG001	median	81	P001/P042	-7038.648844
HG001	median	81	P001/P012	-7101.856396
HG001	median	81	P011/P030	-7164.486508
HG001	median	81	P001/P030	-7206.945785
HG001	median	81	P001/P052	-7241.956761
HG001	median	81	P001/P031	-7320.396248
HG001	median	81	P030/P042	-7393.739327
HG001	median	81	P001/P011	-7415.254470
HG001	median	101	P012/P042	-8838.051240
HG001	median	101	P001/P001	-8838.051240
HG001	median	101	P001/P042	-9072.386879
HG001	median	101	P001/P012	-9118.100602
HG001	median	101	P001/P052	-9205.971989
HG001	median	101	P001/P030	-9424.530089
HG001	median	101	P042/P052	-9440.307628
HG001	median	101	P012/P052	-9486.021351
HG001	median	101	P001/P622	-9539.411870
HG001	median	101	P001/P031	-9543.657063
HG001	median	121	P012/P042	-10779.862791
HG001	median	121	P001/P001	-10779.862791
HG001	median	121	P001/P042	-11020.298261
HG001	median	121	P001/P012	-11124.254497
HG001	median	121	P001/P052	-11189.783540
HG001	median	121	P042/P052	-11430.219010
HG001	median	121	P001/P622	-11481.223421
HG001	median	121	P042/P042	-11512.297769
HG001	median	121	P012/P052	-11534.175246
HG001	median	121	P001/P030	-11547.215240
HG001	median	141	P001/P001	-12690.943583
HG001	median	141	P012/P042	-12821.573019
HG001	median	141	P001/P042	-12980.819879
HG001	median	141	P001/P012	-13127.773977
HG001	median	141	P001/P052	-13142.864332
HG001	median	141	P001/P622	-13392.304213
HG001	median	141	P042/P052	-13432.740628
HG001	median	141	P042/P042	-13518.742625
HG001	median	141	P012/P052	-13579.694726
HG001	median	141	P001/P014	-13592.455707
HG001	median	161	P001/P001	-14575.837230
HG001	median	161	P001/P042	-15039.288754
HG001	median	161	P001/P052	-15069.757979
HG001	median	161	P001/P622	-15277.197860
HG001	median	161	P001/P012	-15311.926496
HG001	median	161	P012/P042	-15346.444050
HG001	median	161	P042/P052	-15533.209503
HG001	median	161	P001/P030	-15658.549155
HG001	median	161	P042/P042	-15702.354783
HG001	median	161	P001/P014	-15721.206597
HG001	median	181	P001/P001	-16461.448559
HG001	median	181	P001/P052	-16944.972100
HG001	median	181	P001/P042	-17123.851241
HG001	median	181	P001/P622	-17162.809189
HG001	median	181	P001/P012	-17458.955581
HG001	median	181	P042/P052	-17607.374783
HG001	median	181	P042/P622	-17825.211872
HG001	median	181	P001/P014	-17836.350911
HG001	median	181	P001/P030	-17843.008188
HG001	median	181	P012/P042	-17847.772612
HG001	median	201	P001/P001	-18280.179832
HG001	median	201	P001/P052	-18780.056927
HG001	median	201	P001/P622	-18981.540462
HG001	median	201	P001/P042	-19082.909603
HG001	median	201	P001/P012	-19576.252578
HG001	median	201	P042/P052	-19582.786699
HG001	median	201	P042/P622	-19784.270233
HG001	median	201	P001/P019	-19869.771602
HG001	median	201	P001/P030	-19906.110514
HG001	median	201	P001/P035	-19976.351588
HG001	median	221	P001/P001	-20082.306775
HG001	median	221	P001/P052	-20544.753923
HG001	median	221	P001/P622	-20780.201669
HG001	median	221	P001/P042	-21048.306775
HG001	median	221	P042/P052	-21510.753923
HG001	median	221	P001/P019	-21578.323676
HG001	median	221	P001/P012	-21621.775450
HG001	median	221	P001/P035	-21741.048583
HG001	median	221	P042/P622	-21746.201669
HG001	median	221	P001/P030	-21988.370187
HG001	median	241	P001/P001	-21649.195993
HG001	median	241	P001/P052	-22125.917253
HG001	median	241	P001/P622	-22342.932004
HG001	median	241	P001/P042	-22844.317808
HG001	median	241	P001/P019	-23101.262643
HG001	median	241	P001/P035	-23274.666736
HG001	median	241	P042/P052	-23321.039069
HG001	median	241	P001/P012	-23474.060597
HG001	median	241	P042/P622	-23538.053820
HG001	median	241	P019/P052	-23577.983904
HG001	median	261	P001/P001	-23200.862753
HG001	median	261	P001/P052	-23643.619801
HG001	median	261	P001/P622	-23866.872877
HG001	median	261	P001/P019	-24570.444889
HG001	median	261	P001/P042	-24667.106384
HG001	median	261	P001/P035	-24779.892635
HG001	median	261	P019/P052	-25013.201938
HG001	median	261	P042/P052	-25109.863433
HG001	median	261	P001/P608	-25145.441351
HG001	median	261	P001/P059	-25223.709367
HG001	median	281	P001/P001	-24640.135263
HG001	median	281	P001/P052	-25083.303481
HG001	median	281	P001/P622	-25281.192089
HG001	median	281	P001/P019	-25951.904205
HG001	median	281	P001/P035	-26159.554488
HG001	median	281	P001/P042	-26321.637767
HG001	median	281	P019/P052	-26395.072423
HG001	median	281	P001/P608	-26518.171732
HG001	median	281	P001/P059	-26583.269952
HG001	median	281	P019/P622	-26592.961031
HG001	median	301	P001/P001	-26044.691287
HG001	median	301	P001/P052	-26446.270675
HG001	median	301	P001/P622	-26682.975524
HG001	median	301	P001/P019	-27267.044243
HG001	median	301	P001/P035	-27522.521682
HG001	median	301	P019/P052	-27668.623630
HG001	median	301	P001/P608	-27881.138925
HG001	median	301	P001/P059	-27904.648315
