AWA4634-584	mean	221	P029/P035	-2741864.104447
AWA4634-584	mean	221	P018/P029	-2765462.266127
AWA4634-584	mean	221	P029/P033	-2863890.743684
AWA4634-584	mean	221	P029/P048	-2889169.425819
AWA4634-584	mean	221	P020/P029	-2937318.976199
AWA4634-584	mean	221	P029/P052	-2956473.150297
AWA4634-584	mean	221	P001/P029	-3005065.536620
AWA4634-584	mean	241	P029/P029	-2035506.716700
AWA4634-584	mean	241	P029/P628	-2485256.728044
AWA4634-584	mean	241	P029/P609	-2709289.065706
AWA4634-584	mean	241	P029/P035	-2778499.819844
AWA4634-584	mean	241	P018/P029	-2802009.734688
AWA4634-584	mean	241	P029/P033	-2899770.711510
AWA4634-584	mean	241	P020/P029	-2916733.834534
AWA4634-584	mean	241	P029/P048	-2927035.840724
AWA4634-584	mean	241	P029/P052	-2931403.768806
AWA4634-584	mean	241	P001/P029	-2981292.662436
AWA4634-584	mean	261	P029/P029	-2017903.044084
AWA4634-584	mean	261	P029/P628	-2463776.332627
AWA4634-584	mean	261	P029/P609	-2686616.919712
AWA4634-584	mean	261	P029/P035	-2815936.615858
AWA4634-584	mean	261	P018/P029	-2839383.276071
AWA4634-584	mean	261	P020/P029	-2897770.641422
AWA4634-584	mean	261	P029/P052	-2907672.469696
AWA4634-584	mean	261	P029/P033	-2936591.814591
AWA4634-584	mean	261	P001/P029	-2959124.538191
AWA4634-584	mean	261	P029/P622	-2965047.310556
AWA4634-584	mean	281	P029/P029	-2002569.739826
AWA4634-584	mean	281	P029/P628	-2444730.072403
AWA4634-584	mean	281	P029/P609	-2666402.895658
AWA4634-584	mean	281	P029/P035	-2854964.767718
AWA4634-584	mean	281	P018/P029	-2878295.362788
AWA4634-584	mean	281	P020/P029	-2881421.001262
AWA4634-584	mean	281	P029/P052	-2886589.836229
AWA4634-584	mean	281	P001/P029	-2939538.205548
AWA4634-584	mean	281	P029/P622	-2943396.907062
AWA4634-584	mean	281	P029/P608	-2943709.774752
AWA4634-584	mean	301	P029/P029	-1989009.250757
AWA4634-584	mean	301	P029/P628	-2427366.700318
AWA4634-584	mean	301	P029/P609	-2648298.272233
AWA4634-584	mean	301	P020/P029	-2866865.317411
AWA4634-584	mean	301	P029/P052	-2867118.441191
AWA4634-584	mean	301	P029/P035	-2895067.333812
AWA4634-584	mean	301	P018/P029	-2918266.371220
AWA4634-584	mean	301	P001/P029	-2921286.062187
AWA4634-584	mean	301	P029/P622	-2922369.951191
AWA4634-584	mean	301	P029/P608	-2922525.719670
AWA4634-584	mean	321	P029/P029	-1978765.030870
AWA4634-584	mean	321	P029/P628	-2413152.081000
AWA4634-584	mean	321	P029/P609	-2633668.262913
AWA4634-584	mean	321	P029/P052	-2851183.336293
AWA4634-584	mean	321	P020/P029	-2852107.262318
AWA4634-584	mean	321	P029/P035	-2902237.979318
AWA4634-584	mean	321	P029/P622	-2904835.309822
AWA4634-584	mean	321	P001/P029	-2904835.309822
AWA4634-584	mean	321	P029/P608	-2904990.374330
AWA4634-584	mean	321	P029/P043	-2905190.665986
AWA4634-584	mean	341	P029/P029	-1967107.407245
AWA4634-584	mean	341	P029/P628	-2395611.219064
AWA4634-584	mean	341	P029/P609	-2617938.278088
AWA4634-584	mean	341	P029/P052	-2833173.606228
AWA4634-584	mean	341	P020/P029	-2834093.085116
AWA4634-584	mean	341	P029/P035	-2883238.333332
AWA4634-584	mean	341	P001/P029	-2885180.169865
AWA4634-584	mean	341	P029/P622	-2885180.169865
AWA4634-584	mean	341	P029/P608	-2885334.488000
AWA4634-584	mean	341	P029/P043	-2885533.815591
AWA4634-584	mean	361	P029/P029	-1956419.096354
AWA4634-584	mean	361	P029/P628	-2379217.397532
AWA4634-584	mean	361	P029/P609	-2603580.948821
AWA4634-584	mean	361	P029/P052	-2816191.721538
AWA4634-584	mean	361	P020/P029	-2817106.465254
AWA4634-584	mean	361	P029/P035	-2865209.495766
AWA4634-584	mean	361	P029/P622	-2866501.651225
AWA4634-584	mean	361	P001/P029	-2866501.651225
AWA4634-584	mean	361	P029/P608	-2866655.174646
AWA4634-584	mean	361	P029/P043	-2866853.475732
AWA4634-584	mean	381	P029/P029	-1948135.444029
AWA4634-584	mean	381	P029/P628	-2365448.977999
AWA4634-584	mean	381	P029/P609	-2591880.012733
AWA4634-584	mean	381	P029/P052	-2801647.098785
AWA4634-584	mean	381	P020/P029	-2802556.777786
AWA4634-584	mean	381	P029/P035	-2849554.572324
AWA4634-584	mean	381	P001/P029	-2850203.434269
AWA4634-584	mean	381	P029/P622	-2850203.434269
AWA4634-584	mean	381	P029/P608	-2850356.107668
AWA4634-584	mean	381	P029/P043	-2850553.310808
AWA4634-584	mean	401	P029/P029	-1943977.793145
AWA4634-584	mean	401	P029/P628	-2356066.176611
AWA4634-584	mean	401	P029/P609	-2584519.532862
AWA4634-584	mean	401	P029/P052	-2791760.938160
AWA4634-584	mean	401	P020/P029	-2792646.194866
AWA4634-584	mean	401	P029/P035	-2837884.201728
AWA4634-584	mean	401	P029/P622	-2838497.558160
AWA4634-584	mean	401	P001/P029	-2838497.558160
AWA4634-584	mean	401	P029/P608	-2838649.316453
AWA4634-584	mean	401	P029/P043	-2838845.337580
