Aligner,Frag,Allele,Graph,Path,Coverage,Error,MeanDiff,MeanDiffNo0,NumReads,NumReadsNo0,PropReadsDiff,NumReadsNoMapRef,NumReadsNoMapGraph
mg,none,L10,znf-msa,path,100,0.001,-2.02214319291196e-05,-9.08200897947549e-05,1008346,224512,0.222653731953119,1,42053
mg,none,L10,znf-msa,path,100,0.01,-2.08416865489741e-06,-7.98378910630986e-06,1007596,263033,0.261050063716013,27,42761
mg,none,L11,allele-msa,nopath,100,0,-0.000513800539713094,-0.00230314386668993,1027583,229240,0.223086602250135,0,22817
mg,none,L11,allele-msa,nopath,100,0.001,-0.000492535798070652,-0.00211545691338359,1027290,239181,0.232827147154163,0,23110
mg,none,L11,allele-msa,nopath,100,0.01,-0.000320537785588752,-0.00120060561510527,1024200,273441,0.266980082015231,26,26170
mg,none,L11,allele-msa,path,100,0,-0.000429481824743106,-0.00193658731525517,1021141,226461,0.221772507420621,0,29259
mg,none,L11,allele-msa,path,100,0.001,-0.000414689134952706,-0.00179302050823844,1021054,236149,0.231279638491206,0,29346
mg,none,L11,allele-msa,path,100,0.01,-0.00028981280254827,-0.00109498701269828,1019672,269879,0.264672365231172,26,30698
mg,none,L11,allele-msa-dag,nopath,100,0,-0.000701372906866819,-0.00295171460509393,1050399,249591,0.237615420425952,0,1
mg,none,L11,allele-msa-dag,nopath,100,0.001,-0.000690711684651964,-0.00279880451345356,1050395,259225,0.246788113043189,0,5
mg,none,L11,allele-msa-dag,nopath,100,0.01,-0.000589405955679989,-0.0021133459898179,1050090,292867,0.278897046919788,26,280
mg,none,L11,allele-msa-dag,path,100,0,-0.000701372906866819,-0.00295171460509393,1050399,249591,0.237615420425952,0,1
mg,none,L11,allele-msa-dag,path,100,0.001,-0.000690711684651964,-0.00279880451345356,1050395,259225,0.246788113043189,0,5
mg,none,L11,allele-msa-dag,path,100,0.01,-0.000589405955679989,-0.0021133459898179,1050090,292867,0.278897046919788,26,280
mg,none,L11,stacked,nopath,100,0,1.07715258677893e-05,4.67687932474103e-05,1050399,241922,0.230314385295492,0,1
mg,none,L11,stacked,nopath,100,0.001,1.12279238651217e-05,4.68873119049039e-05,1050399,251535,0.239466145721769,0,1
mg,none,L11,stacked,nopath,100,0.01,9.59434010766059e-06,3.52540511040832e-05,1050338,285848,0.272148584550878,26,28
mg,none,L11,stacked,path,100,0,1.07715258677893e-05,4.67687932474103e-05,1050399,241922,0.230314385295492,0,1
mg,none,L11,stacked,path,100,0.001,1.12279238651217e-05,4.68873119049039e-05,1050399,251535,0.239466145721769,0,1
mg,none,L11,stacked,path,100,0.01,9.59434010766059e-06,3.52540511040832e-05,1050338,285848,0.272148584550878,26,28
mg,none,L11,znf-loop,nopath,100,0,-0.000730509234577304,-0.00467654132130668,1050400,164080,0.156207159177456,0,0
mg,none,L11,znf-loop,nopath,100,0.001,-0.000717010297991525,-0.00447159871518563,1050399,168429,0.160347639325628,0,1
mg,none,L11,znf-loop,nopath,100,0.01,-0.00057213317679366,-0.00327909681292294,1050213,183240,0.174478891424882,26,164
mg,none,L11,znf-loop,path,100,0,-0.000730509234577304,-0.00467654132130668,1050400,164080,0.156207159177456,0,0
mg,none,L11,znf-loop,path,100,0.001,-0.000717010297991525,-0.00447159871518563,1050399,168429,0.160347639325628,0,1
mg,none,L11,znf-loop,path,100,0.01,-0.00057213317679366,-0.00327909681292294,1050213,183240,0.174478891424882,26,164
mg,none,L11,znf-msa,nopath,100,0,-4.85770801176112e-05,-0.000231969531172283,1008068,211101,0.209411468273966,0,42332
mg,none,L11,znf-msa,nopath,100,0.001,-4.4717215106993e-05,-0.000203140252283758,1008010,221893,0.220129760617454,0,42390
mg,none,L11,znf-msa,nopath,100,0.01,-2.00353442841045e-05,-7.69820288926273e-05,1007235,262143,0.260260018764241,26,43133
mg,none,L11,znf-msa,path,100,0,-4.85770801176112e-05,-0.000231969531172283,1008068,211101,0.209411468273966,0,42332
mg,none,L11,znf-msa,path,100,0.001,-4.4717215106993e-05,-0.000203140252283758,1008010,221893,0.220129760617454,0,42390
