Aligner,Frag,Allele,Graph,Path,Coverage,Error,MeanDiff,MeanDiffNo0,NumReads,NumReadsNo0,NumReadsYesMapRef,NumReadsYesMapGraph,NumReadsSpurious,TotalZnfReads,NumReadsNoMapGraph,NumReadsNoMapRef,PropReadsDiff,PropReadsDiffTotal,PropReadsNoMapRef,PropReadsNoMapGraph,PropReadsYesMapRef,PropReadsYesMapGraph,PropReadsSpuriousTotal
mg,none,A,allele-msa,nopath,100,0,-0.018954432132964,-0.0351715946640558,15162,8171,36430,15162,11432,95308,68714,47446,0.538913072154069,0.0857325722919377,0.49781760188022,0.720967809627733,0.382234439921098,0.159084232173585,0.119947958198682
mg,none,A,allele-msa,path,100,0,-0.0225642386403052,-0.0344619636235211,8649,5663,36430,8649,11432,95308,75227,47446,0.654757775465372,0.0594178872707433,0.49781760188022,0.789304150753347,0.382234439921098,0.0907478910479708,0.119947958198682
mg,none,A,allele-msa-dag,nopath,100,0,-0.0199083475157837,-0.0249436339248865,36430,29076,36430,36430,11432,95308,47446,47446,0.798133406533077,0.305074075628489,0.49781760188022,0.49781760188022,0.382234439921098,0.382234439921098,0.119947958198682
mg,none,A,allele-msa-dag,path,100,0,-0.0199083475157837,-0.0249436339248865,36430,29076,36430,36430,11432,95308,47446,47446,0.798133406533077,0.305074075628489,0.49781760188022,0.49781760188022,0.382234439921098,0.382234439921098,0.119947958198682
mg,none,A,stacked,nopath,100,0,0.00132707933022234,0.00489822695035461,36430,9870,36430,36430,11432,95308,47446,47446,0.270930551743069,0.103558987703026,0.49781760188022,0.49781760188022,0.382234439921098,0.382234439921098,0.119947958198682
mg,none,A,stacked,path,100,0,0.00132707933022234,0.00489822695035461,36430,9870,36430,36430,11432,95308,47446,47446,0.270930551743069,0.103558987703026,0.49781760188022,0.49781760188022,0.382234439921098,0.382234439921098,0.119947958198682
mg,none,A,znf-loop,nopath,100,0,-0.014140958001647,-0.0149676070660701,36430,34418,36430,36430,11432,95308,47446,47446,0.944770793302223,0.361123935031687,0.49781760188022,0.49781760188022,0.382234439921098,0.382234439921098,0.119947958198682
mg,none,A,znf-loop,path,100,0,-0.014140958001647,-0.0149676070660701,36430,34418,36430,36430,11432,95308,47446,47446,0.944770793302223,0.361123935031687,0.49781760188022,0.49781760188022,0.382234439921098,0.382234439921098,0.119947958198682
mg,none,A,znf-msa,nopath,100,0,-2.99884659746251e-06,-0.0026,3468,4,36430,3468,11432,95308,80408,47446,0.00115340253748558,4.19691946111554e-05,0.49781760188022,0.843664750073446,0.382234439921098,0.0363872917278717,0.119947958198682
mg,none,A,znf-msa,path,100,0,-2.99884659746251e-06,-0.0026,3468,4,36430,3468,11432,95308,80408,47446,0.00115340253748558,4.19691946111554e-05,0.49781760188022,0.843664750073446,0.382234439921098,0.0363872917278717,0.119947958198682
vg,fixedfrag,A,allele-msa-dag,nopath,100,0,0.00074859228723098,0.00597848077984183,86843,10874,95308,86843,0,95308,8465,0,0.125214467487305,0.114093255550426,0,0.0888173080958576,1,0.911182691904142,0
vg,fixedfrag,A,allele-msa-dag,path,100,0,0.00106685842054986,0.00998624349022305,95261,10177,95261,95261,47,95308,0,0,0.106832806709986,0.106780123389432,0,0,0.999506861963319,0.999506861963319,0.000493138036681076
vg,fixedfrag,A,stacked,nopath,100,0,0.00106790615688085,0.01,95308,10178,95308,95308,0,95308,0,0,0.106790615688085,0.106790615688085,0,0,1,1,0
vg,fixedfrag,A,stacked,path,100,0,0.00104176945444621,0.00973800412128349,95261,10191,95261,95261,47,95308,0,0,0.106979771364987,0.106927015570571,0,0,0.999506861963319,0.999506861963319,0.000493138036681076
vg,fixedfrag,A,znf-loop,nopath,100,0,0.00112606028392355,0.00998233042112496,90306,10187,95308,90306,0,95308,5002,0,0.112805350696521,0.10688504637596,0,0.0524824778612498,1,0.94751752213875,0
vg,fixedfrag,A,znf-loop,path,100,0,0.00106507384973914,0.00995193722412947,95261,10195,95261,95261,47,95308,0,0,0.107021761266415,0.106968984765182,0,0,0.999506861963319,0.999506861963319,0.000493138036681076
vg,fixedfrag,A,znf-msa,nopath,100,0,0.00115139949109415,0.01,88032,10136,95308,88032,0,95308,7276,0,0.115139949109415,0.106349939144668,0,0.0763419649976917,1,0.923658035002308,0
vg,fixedfrag,A,znf-msa,path,100,0,0.00106752161049517,0.01,94977,10139,95261,94977,47,95308,284,0,0.106752161049517,0.106381416040626,0,0.00297981281739203,0.999506861963319,0.996527049145927,0.000493138036681076
vg,frag,A,allele-msa-dag,nopath,100,0,0.00074859228723098,0.00597848077984183,86843,10874,95308,86843,0,95308,8465,0,0.125214467487305,0.114093255550426,0,0.0888173080958576,1,0.911182691904142,0
vg,frag,A,allele-msa-dag,path,100,0,0.00102439792224146,0.00951833073322933,95295,10256,95307,95295,1,95308,12,0,0.107623694842332,0.107609014983002,0,0.000125907583833466,0.999989507701347,0.999863600117514,1.04922986527889e-05
vg,frag,A,stacked,nopath,100,0,0.00106790615688085,0.01,95308,10178,95308,95308,0,95308,0,0,0.106790615688085,0.106790615688085,0,0,1,1,0
vg,frag,A,stacked,path,100,0,0.00104951679415746,0.00979531877387132,95301,10211,95307,95301,1,95308,6,0,0.107144730905237,0.107136861543627,0,6.29537919167331e-05,0.999989507701347,0.999926553909431,1.04922986527889e-05
vg,frag,A,znf-loop,nopath,100,0,0.00112606028392355,0.00998233042112496,90306,10187,95308,90306,0,95308,5002,0,0.112805350696521,0.10688504637596,0,0.0524824778612498,1,0.94751752213875,0
vg,frag,A,znf-loop,path,100,0,0.00101503719949211,0.00941319579602958,95297,10276,95307,95297,1,95308,10,0,0.107831306337031,0.107818860956058,0,0.000104922986527889,0.999989507701347,0.999884584714819,1.04922986527889e-05
vg,frag,A,znf-msa,nopath,100,0,0.00115139949109415,0.01,88032,10136,95308,88032,0,95308,7276,0,0.115139949109415,0.106349939144668,0,0.0763419649976917,1,0.923658035002308,0
vg,frag,A,znf-msa,path,100,0,0.00106867255519176,0.0100059142434697,94987,10145,95307,94987,1,95308,320,0,0.106804088980597,0.106444369832543,0,0.00335753556889243,0.999989507701347,0.996631972132455,1.04922986527889e-05
vg,none,A,allele-msa-dag,nopath,100,0,0.000841403452206856,0.00696435379336637,86843,10492,95308,86843,0,95308,8465,0,0.120815724928895,0.110085197465061,0,0.0888173080958576,1,0.911182691904142,0
vg,none,A,allele-msa-dag,path,100,0,0.00102804915159974,0.00956271351878965,95297,10245,95308,95297,0,95308,11,0,0.10750600753434,0.107493599697822,0,0.000115415285180677,1,0.999884584714819,0
vg,none,A,stacked,nopath,100,0,0.00106790615688085,0.01,95308,10178,95308,95308,0,95308,0,0,0.106790615688085,0.106790615688085,0,0,1,1,0
vg,none,A,stacked,path,100,0,0.00105127855366568,0.00981581267757421,95303,10207,95308,95303,0,95308,5,0,0.107100511001752,0.107094892349016,0,5.24614932639443e-05,1,0.999947538506736,0
vg,none,A,znf-loop,nopath,100,0,0.00112606028392355,0.00998233042112496,90306,10187,95308,90306,0,95308,5002,0,0.112805350696521,0.10688504637596,0,0.0524824778612498,1,0.94751752213875,0
vg,none,A,znf-loop,path,100,0,0.00100882485650427,0.00933760683760684,95299,10296,95308,95299,0,95308,9,0,0.108038909117619,0.108028706929114,0,9.44306878750997e-05,1,0.999905569312125,0
vg,none,A,znf-msa,nopath,100,0,0.00115139949109415,0.01,88032,10136,95308,88032,0,95308,7276,0,0.115139949109415,0.106349939144668,0,0.0763419649976917,1,0.923658035002308,0
vg,none,A,znf-msa,path,100,0,0.00106799490327812,0.01,94963,10142,95308,94963,0,95308,345,0,0.106799490327812,0.106412892936585,0,0.00361984303521215,1,0.996380156964788,0
vg,fixedfrag,A,allele-msa,nopath,100,0,0,0,0,0,95308,0,0,95308,95308,0,NA,0,0,1,1,0,0
vg,fixedfrag,A,allele-msa,path,100,0,0,0,0,0,95261,0,47,95308,95261,0,NA,0,0,0.999506861963319,0.999506861963319,0,0.000493138036681076
vg,frag,A,allele-msa,nopath,100,0,0,0,0,0,95308,0,0,95308,95308,0,NA,0,0,1,1,0,0
vg,frag,A,allele-msa,path,100,0,0,0,0,0,95307,0,1,95308,95307,0,NA,0,0,0.999989507701347,0.999989507701347,0,1.04922986527889e-05
vg,none,A,allele-msa,nopath,100,0,0,0,0,0,95308,0,0,95308,95308,0,NA,0,0,1,1,0,0
vg,none,A,allele-msa,path,100,0,0,0,0,0,95308,0,0,95308,95308,0,NA,0,0,1,1,0,0
ga,none,B,allele-msa,nopath,100,0,-0.057902768270823,-0.0885602876576412,58577,38299,58577,58577,36433,95010,0,0,0.653823172917698,0.403104936322492,0,0,0.616535101568256,0.616535101568256,0.383464898431744
ga,none,B,allele-msa,path,100,0,-0.0579403742151356,-0.0884446057330484,58577,38374,58577,58577,36433,95010,0,0,0.655103538931663,0.403894326912957,0,0,0.616535101568256,0.616535101568256,0.383464898431744
ga,none,B,allele-msa-dag,nopath,100,0,-0.0595161614541544,-0.101976721838711,58577,34187,58577,58577,36433,95010,0,0,0.583624972258736,0.359825281549311,0,0,0.616535101568256,0.616535101568256,0.383464898431744
ga,none,B,allele-msa-dag,path,100,0,-0.0595161614541544,-0.101976721838711,58577,34187,58577,58577,36433,95010,0,0,0.583624972258736,0.359825281549311,0,0,0.616535101568256,0.616535101568256,0.383464898431744
ga,none,B,stacked,nopath,100,0,-0.0165995703040442,-0.0337095867464032,58577,28845,58577,58577,36433,95010,0,0,0.492428768970756,0.303599621092517,0,0,0.616535101568256,0.616535101568256,0.383464898431744
ga,none,B,stacked,path,100,0,-0.0165995703040442,-0.0337095867464032,58577,28845,58577,58577,36433,95010,0,0,0.492428768970756,0.303599621092517,0,0,0.616535101568256,0.616535101568256,0.383464898431744
ga,none,B,znf-loop,nopath,100,0,-0.00419857623299247,-0.0188503104161876,58577,13047,58577,58577,36433,95010,0,0,0.222732471789269,0.137322387117146,0,0,0.616535101568256,0.616535101568256,0.383464898431744
ga,none,B,znf-loop,path,100,0,-0.00419857623299247,-0.0188503104161876,58577,13047,58577,58577,36433,95010,0,0,0.222732471789269,0.137322387117146,0,0,0.616535101568256,0.616535101568256,0.383464898431744
ga,none,B,znf-msa,nopath,100,0,0,0,6190,0,58577,6190,36433,95010,52387,0,0,0,0,0.55138406483528,0.616535101568256,0.0651510367329755,0.383464898431744
ga,none,B,znf-msa,path,100,0,0,0,6190,0,58577,6190,36433,95010,52387,0,0,0,0,0.55138406483528,0.616535101568256,0.0651510367329755,0.383464898431744
mg,none,B,allele-msa,nopath,100,0,-0.0195880002641659,-0.0381873953907558,15142,7767,36193,15142,11446,95010,68422,47371,0.512944128912957,0.0817492895484686,0.498589622145037,0.720155773076518,0.380938848542259,0.159372697610778,0.120471529312704
mg,none,B,allele-msa,path,100,0,-0.0229317451205511,-0.0356098234979497,8710,5609,36193,8710,11446,95010,74854,47371,0.643972445464983,0.0590358909588464,0.498589622145037,0.787853910114725,0.380938848542259,0.0916745605725713,0.120471529312704
mg,none,B,allele-msa-dag,nopath,100,0,-0.0197485867432929,-0.0258905567428551,36193,27607,36193,36193,11446,95010,47371,47371,0.762771806702954,0.290569413745921,0.498589622145037,0.498589622145037,0.380938848542259,0.380938848542259,0.120471529312704
mg,none,B,allele-msa-dag,path,100,0,-0.0197485867432929,-0.0258905567428551,36193,27607,36193,36193,11446,95010,47371,47371,0.762771806702954,0.290569413745921,0.498589622145037,0.498589622145037,0.380938848542259,0.380938848542259,0.120471529312704
mg,none,B,stacked,nopath,100,0,-0.000741809189622303,-0.0078919165196943,36193,3402,36193,36193,11446,95010,47371,47371,0.0939960765893957,0.0358067571834544,0.498589622145037,0.498589622145037,0.380938848542259,0.380938848542259,0.120471529312704
mg,none,B,stacked,path,100,0,-0.000741809189622303,-0.0078919165196943,36193,3402,36193,36193,11446,95010,47371,47371,0.0939960765893957,0.0358067571834544,0.498589622145037,0.498589622145037,0.380938848542259,0.380938848542259,0.120471529312704
mg,none,B,znf-loop,nopath,100,0,-0.0163414638189705,-0.0173775995298957,36193,34035,36193,36193,11446,95010,47371,47371,0.940375210676098,0.358225449952637,0.498589622145037,0.498589622145037,0.380938848542259,0.380938848542259,0.120471529312704
mg,none,B,znf-loop,path,100,0,-0.0163414638189705,-0.0173775995298957,36193,34035,36193,36193,11446,95010,47371,47371,0.940375210676098,0.358225449952637,0.498589622145037,0.498589622145037,0.380938848542259,0.380938848542259,0.120471529312704
mg,none,B,znf-msa,nopath,100,0,-5.98216853609433e-06,-0.0026,3477,8,36193,3477,11446,95010,80087,47371,0.00230083405234397,8.42016629828439e-05,0.498589622145037,0.842932322913377,0.380938848542259,0.0365961477739185,0.120471529312704
