Aligner,Frag,Allele,Graph,Path,Coverage,Error,MeanDiff,MeanDiffNo0,NumReads,NumReadsNo0,MeanDiffPos,MeanDiffNeg,NumReadsPos,NumReadsNeg,PropReadsDiff,PropPos,PropNeg,NumReadsNoMapRef,NumReadsNoMapGraph
mg,none,C,allele-msa-dag,nopath,100,0,-0.000776751300294012,-0.00325060868121705,1058799,253006,0.00719757652155387,-0.0116360741817353,112648,140358,0.238955646916931,0.106392242531396,0.132563404385535,0,1
mg,none,C,allele-msa-dag,nopath,100,0.001,-0.000767100806763896,-0.00309318262313437,1058798,262579,0.00705989988402238,-0.0112863565358015,117264,145315,0.247997257267203,0.1107520036872,0.137245253580003,1,1
mg,none,C,allele-msa-dag,nopath,100,0.01,-0.000654558611939579,-0.00233293646250716,1058513,296990,0.00731032559786377,-0.0104314748736247,135566,161424,0.280572841334967,0.128072116261208,0.152500725073759,29,248
mg,none,C,allele-msa-dag,path,100,0,-0.000776751300294012,-0.00325060868121705,1058799,253006,0.00719757652155387,-0.0116360741817353,112648,140358,0.238955646916931,0.106392242531396,0.132563404385535,0,1
mg,none,C,allele-msa-dag,path,100,0.001,-0.000767100806763896,-0.00309318262313437,1058798,262579,0.00705989988402238,-0.0112863565358015,117264,145315,0.247997257267203,0.1107520036872,0.137245253580003,1,1
mg,none,C,allele-msa-dag,path,100,0.01,-0.000654558611939579,-0.00233293646250716,1058513,296990,0.00731032559786377,-0.0104314748736247,135566,161424,0.280572841334967,0.128072116261208,0.152500725073759,29,248
mg,none,C,stacked,nopath,100,0,3.56370419342652e-05,0.000161815663301627,1058800,233182,0.0074635920084122,-0.0074317583350101,118875,114307,0.220232338496411,0.112273328296184,0.107959010200227,0,0
mg,none,C,stacked,nopath,100,0.001,3.55377177349053e-05,0.000154841669924487,1058799,243005,0.00727699064318987,-0.00725001007235307,123867,119138,0.229510039204797,0.11698821022687,0.112521828977927,1,0
mg,none,C,stacked,nopath,100,0.01,3.80100990256122e-05,0.000144035892736982,1058716,279388,0.00720893180573691,-0.007204813716756,142446,136942,0.263893244269474,0.134545997226829,0.129347247042644,29,45
mg,none,C,stacked,path,100,0,3.56370419342652e-05,0.000161815663301627,1058800,233182,0.0074635920084122,-0.0074317583350101,118875,114307,0.220232338496411,0.112273328296184,0.107959010200227,0,0
mg,none,C,stacked,path,100,0.001,3.55377177349053e-05,0.000154841669924487,1058799,243005,0.00727699064318987,-0.00725001007235307,123867,119138,0.229510039204797,0.11698821022687,0.112521828977927,1,0
mg,none,C,stacked,path,100,0.01,3.80100990256122e-05,0.000144035892736982,1058716,279388,0.00720893180573691,-0.007204813716756,142446,136942,0.263893244269474,0.134545997226829,0.129347247042644,29,45
mg,none,C,znf-loop,nopath,100,0,-0.000874634373474097,-0.00553054435784885,1058799,167445,0.00745135878241743,-0.0121194992392254,56374,111071,0.158146163719459,0.0532433445819273,0.104902819137532,0,1
mg,none,C,znf-loop,nopath,100,0.001,-0.000854949574895306,-0.00522155316620713,1058798,173362,0.00724566712287612,-0.0118057242084479,59914,113448,0.16373472560394,0.0565868088152792,0.10714791678866,1,1
mg,none,C,znf-loop,nopath,100,0.01,-0.000666728040856505,-0.00361334176398609,1058534,195319,0.00753216142414536,-0.0107387857016962,76172,119147,0.184518399975816,0.0719598992568968,0.112558500718919,29,242
mg,none,C,znf-loop,path,100,0,-0.000874634373474097,-0.00553054435784885,1058799,167445,0.00745135878241743,-0.0121194992392254,56374,111071,0.158146163719459,0.0532433445819273,0.104902819137532,0,1
mg,none,C,znf-loop,path,100,0.001,-0.000854949574895306,-0.00522155316620713,1058798,173362,0.00724566712287612,-0.0118057242084479,59914,113448,0.16373472560394,0.0565868088152792,0.10714791678866,1,1
mg,none,C,znf-loop,path,100,0.01,-0.000666728040856505,-0.00361334176398609,1058534,195319,0.00753216142414536,-0.0107387857016962,76172,119147,0.184518399975816,0.0719598992568968,0.112558500718919,29,242
